,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
danish_atm_daily_17,0.1324280500291814,4.014182311891476e-06,-31194.29343277602,119.0,0.7753239505519687,11.0,1.0,73.0,0.0031532567049808,0.6369633188544845,0.0426229508196721,0.0232298850574712,0.0,1.0,0.5043182464415301,7.671351080600406e-08,0.4871077238100478,0.4485519810716535
danish_atm_daily_18,0.0285742112050136,0.0040819353707986,-163268.25094769432,105.0,0.7833343772577146,6.0,1.0,75.5,0.0009310344827586,0.0014490809070174,0.0098360655737704,0.0009310344827586,0.0,1.0,0.0123415699804575,9.823101561371784e-08,0.1333097116396133,-0.0185744408983024
danish_atm_daily_19,0.7586543450062384,9.981693009649344e-05,-231724.1674818382,89.0,0.8234056359577494,6.0,1.0,59.4,0.0038563927912586,0.2617962933182306,0.0262295081967213,0.005471264367816,0.0,1.0,0.0151417616286227,2.3778123277909026e-07,-0.0527190126153527,0.169179568618152
danish_atm_daily_2,0.4422749306942293,0.0001309461592291,-60317.160009095496,66.0,0.8447184554776725,70.0,1.0,98.33333333333331,0.0045772669220945,0.675938524182941,0.0327868852459016,0.0167816091954023,0.0,1.0,0.1717908860768163,1.7859071187808456e-07,0.0809339005498575,0.4864971824832092
danish_atm_daily_20,0.2893470823843304,0.0251272627205856,-160115.11054822317,121.0,0.7767092753818164,6.0,1.0,100.33333333333331,0.0020343408542642,0.4549331021173406,0.0131147540983606,0.0025747126436781,0.0,1.0,0.0652432588162508,1.0238035944340845e-07,0.3238604683672393,-0.3105781927878893
danish_atm_daily_21,0.0528921563683761,0.016559150799052,-130821.18834660022,121.0,0.8084775473504487,5.0,1.0,75.5,0.0009310344827586,0.4087537319882546,0.0098360655737704,0.0009310344827586,0.0,1.0,0.0259269645219504,9.405034355195277e-08,-0.0075200238138633,-0.1448348855377985
danish_atm_daily_22,0.2126372162091811,0.0362830527905115,-143233.49738752662,121.0,0.7949916288039629,4.0,1.0,60.0,0.0018619270611607,0.0638848336074594,0.0163934426229508,0.0021264367816091,0.0,1.0,0.0181946202085936,1.5629318516225701e-07,0.1296881242387737,-0.0127938544447589
danish_atm_daily_23,0.2893830505943192,0.0251098252025055,-228549.61806670832,109.0,0.8008198952971359,5.0,1.0,101.0,0.0006436781609195,0.000184783679905,0.0065573770491803,0.0006436781609195,0.0,1.0,0.022916559621525,6.433463699261778e-08,0.1221169234217584,-0.0750132970941601
danish_atm_daily_24,1.4901198538908665e-08,4.383387696058714e-09,-54879.93157464694,121.0,0.8249652083644602,8.0,1.0,49.833333333333336,0.0025145451965375,0.2560095283166855,0.0196721311475409,0.0030344827586206,0.0,1.0,0.038760186901394,1.7164189437286666e-07,0.218229733097773,0.0195083455297846
danish_atm_daily_25,0.0285752916650706,0.0285752852931973,-113164.3340534322,113.0,0.8067604635783134,8.0,1.0,60.2,0.0016154391939832,0.0638238447409113,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0124196163591917,1.2854723903975145e-07,0.1091977737900406,0.0032297282688246
danish_atm_daily_26,0.0002669605953351,1.2079381509873173e-16,-58844.849128596325,129.0,0.7884632533995729,5.0,1.0,152.0,0.0003333333333333,0.0,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0438575305601363,3.03096692280929e-08,0.0939667217533137,-0.098103472978645
danish_atm_daily_27,0.0587080675590188,0.0206657211005834,-165277.91103453183,117.0,0.8150255482308492,4.0,1.0,152.0,0.0003333333333333,0.0001462487203239,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0050141863720067,3.460208750440819e-08,0.023635450807119,0.0196153548104666
danish_atm_daily_28,0.0381954543862181,5.955371573323078e-12,-71520.67246715057,123.0,0.8214662923114755,6.0,1.0,75.25,0.0016154391939832,0.0006740923625899,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0405347505395095,1.1438106934549697e-07,0.2271327350686545,-0.2417039564265856
