naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE_model,RMSSE_model,SMAPE_model,CM_model
nn5_87,3.5891050091270005,0.4829745856537507,15.306410193443298,0.781011127285084,Prophet,Prophet,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
nn5_56,4.1866989508272985,0.5510943180920685,8.906476944684982,0.7994297904087097,TFTTuningObjective,TFTTuningObjective,Prophet,Prophet
nn5_61,5.155876007388507,0.4874380519788847,7.106317579746246,0.7918391399440481,NeuralProphet,NeuralProphet,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
nn5_83,4.326737274353988,0.7201781816643094,8.016108721494675,0.8213710856742538,TFTTuningObjective,Prophet,TFTTuningObjective,OLS
nn5_102,2.1114270436760543,0.7151999995141256,10.289107263088226,0.7903345288784037,Prophet,Prophet,Prophet,Prophet
nn5_68,3.209740185784778,0.2769490471001599,8.351974189281464,0.7467788274604203,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,LightAutoML,CatBoostAutoRegressivePipelineEtna_30lags
nn5_1,3.075537353953609,0.4378662689839226,5.957213789224625,0.7817591778516919,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_77,2.8913286332167067,0.4278796866478294,5.897662788629532,0.7779606714403098,TFTTuningObjective,NeuralProphet,TFTTuningObjective,TFTTuningObjective
mipt_alpha_350,1103515.7866818218,1.0056005498898064,22.87077158689499,0.854929444082899,Prophet,Prophet,Prophet,OLS
nn5_60,3.1851676935098423,0.3398160779788227,7.279165089130402,0.7601979462776601,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_30,2.491712471106121,0.2765259384543787,5.723559111356735,0.7319205991309112,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective
nn5_42,4.23303066182899,0.438999630528444,7.715091854333878,0.7849393042610341,NeuralProphet,NeuralProphet,DeepARTuningObjective,BaselineMean
nn5_16,5.684229654610854,0.3956446359496015,14.135679602622986,0.7736756348328806,NeuralProphet,NeuralProphet,LightAutoML,Prophet
nn5_62,2.014030358033626,0.2906004781205921,5.807529762387276,0.7195615009659967,TFTTuningObjective,TFTTuningObjective,DeepARTuningObjective,TFTTuningObjective
nn5_7,3.934567888665796,0.3024031509063994,8.001234382390976,0.754209093753833,LightAutoML,LightAutoML,LightAutoML,Prophet
nn5_57,4.033328208184467,0.332542111517752,7.171096652746201,0.7626590281590965,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective,Prophet
nn5_58,2.889720713442179,0.4621244223693018,12.44828999042511,0.7782244934973896,TFTTuningObjective,TFTTuningObjective,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
nn5_81,2.593967198849059,0.4968757555800599,5.489901825785637,0.7790635368032014,LightAutoML,LightAutoML,LightAutoML,Prophet
nn5_0,6.176387788447326,0.4790692516770587,6.78660050034523,0.7946151488014667,LightAutoML,LightAutoML,LightAutoML,Prophet
nn5_98,3.3692923425984542,0.5344647375527871,8.683399111032486,0.8078757731478579,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,LightAutoML,CatBoostAutoRegressivePipelineEtna_30lags
mipt_alpha_339,1282759.368137298,0.7505212666577872,45.31216025352478,0.814376822927992,LightAutoML,LightAutoML,LightAutoML,BaselineMean
nn5_31,4.996174684156808,0.5242590938562505,9.717582166194916,0.7942082461099749,Prophet,Prophet,Prophet,Prophet
nn5_103,5.116502369449469,0.3409878481163024,7.102275639772415,0.7591480938556887,Prophet,Prophet,Prophet,Prophet
nn5_53,3.219971804525008,0.4095863890994985,5.927769094705582,0.7611336647700051,Prophet,Prophet,Prophet,Prophet
nn5_21,2.6096753158897017,0.3515302494380852,5.127035453915596,0.732909691934128,Prophet,Prophet,Prophet,Prophet
nn5_64,7.245257701094795,0.5520650890487756,7.625646889209747,0.8083575138210782,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostDirectPipelineEtna_30lags
nn5_36,4.205634406786901,0.4557412412380123,10.141675919294356,0.7883783851329585,TFTTuningObjective,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,OLS
nn5_50,3.8241229878204175,0.4505165200839702,6.505031883716583,0.796315758714877,LightAutoML,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_30lags
nn5_85,2.7079756769583976,0.3558328004877978,8.573266118764877,0.7533459446558228,TFTTuningObjective,TFTTuningObjective,TFTTuningObjective,Prophet
mipt_alpha_324,829871.8480729419,0.9683472168919104,18.94343644380569,0.84900861731794,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,LightAutoML,OLS
mipt_alpha_647,2356744.95414332,0.6367901480435808,16.6644886136055,0.7973329898864691,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,BaselineMean
nn5_35,2.6422410342558584,0.3443272049800453,10.130183398723602,0.7408567718342911,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
nn5_2,6.055121582221804,0.5361672344978559,7.680104672908783,0.8134310471421495,LightAutoML,LightAutoML,TFTTuningObjective,LightAutoML
mipt_alpha_583,519089.3352632088,0.7780805875737787,19.80107426643372,0.8124609418230064,CatBoostAutoRegressivePipelineEtna_3lags,CatBoostAutoRegressivePipelineEtna_3lags,BaselineMean,BaselineMean
