,naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE-model,RMSSE-model,SMAPE-model,CM-model
58,danish_atm_daily_52,9.966694874122874,0.4547657280707843,8.693692833185196,0.533629715010908,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
59,danish_atm_daily_53,10.3962442218764,0.5142245738255463,7.670523226261139,0.5631536269029291,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
60,danish_atm_daily_54,8.934507068940144,0.3778404804877431,7.913390547037125,0.520488376457056,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,BaselineMean
61,danish_atm_daily_55,9.74881952426545,0.4635126394310087,7.780871540307999,0.5571065380611104,TFTTuningObjective_gl,TFTTuningObjective_gl,LightAutoML_mult_gl,BaselineMean
62,danish_atm_daily_56,5.008766119226308,0.3832437830791566,7.424020022153854,0.5404423156139515,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
63,danish_atm_daily_57,14.13457927130333,0.4099733613838695,5.390968173742294,0.5576068795023912,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
64,danish_atm_daily_58,7.626371416676966,0.3652672607260288,17.35389083623886,0.5154586272758878,LightAutoML_mult_gl,LightAutoML_mult_gl,Prophet,BaselineMean
65,danish_atm_daily_59,11.894532532840651,0.3269087846264251,5.5648259818553925,0.535671252451099,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
66,danish_atm_daily_6,10.614929812500712,0.3061405968780993,6.263278424739838,0.5116525130594797,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
67,danish_atm_daily_60,5.46460204718126,0.5018695990018636,13.90191614627838,0.5551418735426046,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
68,danish_atm_daily_61,14.04758377748115,0.4240581400682887,5.926462635397911,0.5554930056405238,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
69,danish_atm_daily_62,9.442880069596832,0.4525136807316384,6.780118495225906,0.5384783706069376,LightAutoML_mult_gl,LightAutoML_mult_gl,TFTTuningObjective_gl,OLS
70,danish_atm_daily_63,15.826705884062704,0.44018635923172,9.624534100294111,0.5512130769847876,TFTTuningObjective_gl,TFTTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,BaselineMean
71,danish_atm_daily_64,14.383144028804006,0.3989449060874421,6.640520691871643,0.538151748391142,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
72,danish_atm_daily_65,11.725799312065508,0.4266089295729002,7.295271754264831,0.530106743650723,LightAutoML_mult_gl,LightAutoML_mult_gl,LSTNetTuningObjective_gl,BaselineMean
73,danish_atm_daily_66,10.453730772338975,0.3857237544391544,5.906045064330101,0.5500902596693801,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
74,danish_atm_daily_67,7.664178223275785,0.3727045130475707,6.189370900392532,0.5559899796221988,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
75,danish_atm_daily_68,22.10204369947176,0.5978648755826239,9.648329764604568,0.5508933261686805,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
76,danish_atm_daily_69,10.113718788816398,0.5602403585783239,8.558441698551178,0.5801161404791485,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
77,danish_atm_daily_7,6.782436284666919,0.3486112942860404,6.33125975728035,0.5262848436987959,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
78,danish_atm_daily_70,12.666292553111807,0.3673821700935744,5.563872307538986,0.5361379642304467,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
79,danish_atm_daily_71,10.818313358868105,0.3076388112892305,10.453655570745468,0.524281377163393,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
80,danish_atm_daily_72,7.548456440962833,0.4703242946172553,8.221474289894104,0.53468932355207,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
81,danish_atm_daily_73,11.213326250845917,0.7130075060194051,9.556978195905684,0.5472049471762515,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
82,danish_atm_daily_74,13.383753683884745,0.6015050245011253,10.32867431640625,0.5489054107567807,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
83,danish_atm_daily_75,7.978190017835709,0.4972141772401851,30.3559809923172,0.5599221504462011,LSTNetTuningObjective_gl,LSTNetTuningObjective_gl,ARIMAEtna,BaselineMean
84,danish_atm_daily_76,5.7544190384832925,0.6299745527247427,18.340803682804108,0.5220809837639979,LightAutoML,LightAutoML,LightAutoML,BaselineMean
85,danish_atm_daily_77,10.688678520319629,0.3207713702405553,7.302452623844147,0.5352859338460749,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
86,danish_atm_daily_78,4.463123754509983,0.359395520897874,8.45552608370781,0.5273277218389478,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
87,danish_atm_daily_79,16.04906284531563,0.6070513170403556,9.146274626255035,0.5422350514124468,LSTNetTuningObjective_gl,LSTNetTuningObjective_gl,LSTNetTuningObjective_gl,BaselineMean
88,danish_atm_daily_8,20.339329486849103,0.7179711494497385,12.376776337623596,0.578942449356008,NeuralProphet,NeuralProphet,CatBoostDirectPipelineEtna_30lags_gl,BaselineMean
89,danish_atm_daily_80,37.34961218370865,0.416378788962897,16.703036427497864,0.4979900265183864,LightAutoML,LightAutoML,LightAutoML,OLS
