naming_orig,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,RMSE,RMSSE,SMAPE,RMSE_model,RMSSE_model
mipt_alpha_69,0.1464285714285714,0.0457589285714285,-45369750368.35429,247.0,0.7229300488624143,5.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,2066377.133067437,0.734798801956484,18.39299649000168,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_7,0.0757142857142857,0.0344155844155844,-37535339067.00203,296.0,0.7013899952305939,9.0,1.0,5.565656565656566,0.0031185263357734,0.6451806447418758,0.1788375558867362,0.0098597919493441,0.0,1.0,0.0074581770230293,1.3190247610750938e-07,0.3952031927343454,0.4928550764200273,2796283.1134261065,0.85848516396624,31.23231530189514,Prophet,Prophet
mipt_alpha_70,0.1464285714285714,0.0457589285714285,-47155653710.88058,275.0,0.8300344283713971,6.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1138603.8530059522,0.5163051466006315,9.720109403133392,LightAutoML,LightAutoML
mipt_alpha_71,0.1474717274973189,0.0554145392561966,-18945291601.598824,214.0,0.7643308108013129,6.0,1.0,17.444444444444443,0.0060438548000737,0.1531367959364471,0.0640834575260804,0.0090004522840343,0.0,1.0,0.066982675917897,7.989203689138651e-08,-1.267982234388848,-0.0047918934080804,1605395.7377195195,1.045644990460513,34.585997462272644,NeuralProphet_gl,NeuralProphet_gl
mipt_alpha_72,0.1228571428571428,0.0409523809523809,-49256931524.46426,249.0,0.771686087984595,5.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1946821.3429690967,0.7216169926327496,14.46598619222641,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
mipt_alpha_73,0.1464285714285714,0.0732142857142857,-29072541064.69892,244.0,0.752055021749509,5.0,1.0,111.0,0.000701040253279,0.0007658023311021,0.007451564828614,0.000701040253279,0.0,1.0,0.0154694843545963,1.5309467320030433e-08,-0.1272926767734258,-0.0701327116731629,1507328.434782546,0.9725037650273372,18.255919218063354,CatBoostAutoRegressivePipelineEtna_30lags_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl
mipt_alpha_74,0.0992857142857142,0.0534615384615384,-32941355863.78901,291.0,0.8335664643398935,9.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1219056.3560525002,0.5869295595265881,18.87698322534561,NeuralProphet,NeuralProphet
mipt_alpha_75,0.1935714285714285,0.0001,-26788077729.21752,199.0,0.4843452771121171,155.0,1.0,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189646986414,3.2805260991603716e-09,-0.0056200525431041,0.0240502432896098,748655.7508922241,0.71473006500822,12.90157437324524,NeuralProphet_gl,CatBoostAutoRegressivePipelineEtna_30lags
mipt_alpha_76,0.0992857142857142,0.0458241758241758,-40666248673.68654,251.0,0.8138811871299886,5.0,1.0,166.5,0.0010623091054268,0.1974737655265345,0.007451564828614,0.0013071008593396,0.0,1.0,0.0085816151568478,1.5661449705232278e-08,-0.0549617719760031,-0.0368442857543985,2215026.9188865405,0.8147680320902144,21.808968484401703,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_77,0.1935714285714285,0.043015873015873,-40486503157.84698,271.0,0.8308321959762252,8.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1350041.4310679506,0.6781427411824605,12.243713438510897,NeuralProphet,NeuralProphet
mipt_alpha_78,0.1228571428571428,0.0327619047619047,-47731909622.98323,258.0,0.7711728876262781,5.0,1.0,334.0,0.0008126036484245,0.6143167271067013,0.0044709388971684,0.0013432835820895,0.0,1.0,0.0075068024401201,9.523832898962361e-09,-0.0623333491849532,0.0162278471764052,1475437.3389988474,0.6319008487233709,12.044017016887665,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl
mipt_alpha_79,0.0992857142857142,0.0458241758241758,-68572873530.33695,267.0,0.7816845058598589,5.0,1.0,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0026402958532857,3.279338787256018e-09,-0.0233717899215878,0.0012212187048438,3479773.3372804616,1.0184486142944824,13.795754313468931,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_8,0.1227342857291868,0.0408705171478192,-59709151263.36447,237.0,0.7540167033432414,9.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1900119.53880802,0.6812152631589931,12.2035950422287,TFTTuningObjective_gl,TFTTuningObjective_gl
mipt_alpha_80,0.1228571428571428,0.0491428571428571,-36991664169.56868,261.0,0.7415879639331087,6.0,1.0,132.6,0.0016439687086453,0.2784798076161749,0.0119225037257824,0.0022795115332428,0.0,1.0,0.1142646399269694,1.816193494492193e-08,-0.2941308750485436,-0.3076170388747125,1072356.5907215753,0.503582046434412,12.433084845542908,TFTTuningObjective_gl,TFTTuningObjective_gl
mipt_alpha_81,0.1228571428571428,0.0573333333333333,-26886523531.53193,261.0,0.7996876141851197,6.0,1.0,335.0,0.0001492537313432,2.818714384389409e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0203169110340696,3.137608173950198e-09,0.042974453060334,-0.0319178335207744,1000278.5199333234,0.736026296379143,13.333968818187714,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_82,0.0521428571428571,0.0057936507936507,-26835454991.614067,255.0,0.7211867962330891,9.0,1.0,5.346534653465347,0.0030648106269996,0.6483493179918542,0.195230998509687,0.0131614654002713,0.0,1.0,0.0157758936610485,1.2569794441962094e-07,0.4722849252864529,0.4408958599314929,1296149.312090239,0.572544413698176,36.33833527565002,Prophet,Prophet
mipt_alpha_83,0.1228571428571428,0.0491428571428571,-24580716227.936897,234.0,0.7105515174134334,94.0,1.0,577.0,0.0008126036484245,0.9876137132546424,0.1400894187779433,0.1181682496607869,0.0,1.0,0.9573309858411028,1.509177215625104e-09,-5.319425937841958,-4.917677263130901,980994.4384103308,0.5455978618701091,83.82867574691772,LightAutoML,LightAutoML
mipt_alpha_84,0.1464285714285714,0.0366071428571428,-15219466590.19688,113.0,0.4985603951073376,109.0,1.0,191.0,0.0019724609276848,0.9555547377234076,0.1460506706408345,0.1185843509724106,0.0,1.0,0.90897636585271,5.920804782809809e-09,-0.5122676752722981,3.9413061205139392,569293.0912491386,0.5199866076631939,18.018776178359985,Prophet,Prophet
mipt_alpha_85,0.1699999999999999,0.0099999999999999,-22148349047.991,234.0,0.8236574277820877,6.0,1.0,223.0,0.0002939846223428,0.0001150541113867,0.0029806259314456,0.0002939846223428,0.0,1.0,0.0016220604895971,6.5276114478786465e-09,0.0230626570026134,0.025424904990312,797459.3949487334,0.677564940361076,16.965122520923615,DeepARTuningObjective_gl,DeepARTuningObjective_gl
mipt_alpha_86,0.0992857142857142,0.0381868131868131,-37255215575.77298,261.0,0.7438014132880149,8.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1324351.7633982294,0.6679589752283214,12.969283759593964,LightAutoML_mult_gl,LightAutoML_mult_gl
